match_id,radiant_adv_nw,radiant_adv_xp,radiant_adv_lh,radiant_win
294,3725,6200,119,True
295,-8267,-8980,-53,False
296,2222,1989,1,False
297,-4649,-3797,-93,True
298,-4234,-7133,-23,False
299,-860,-849,34,False
300,2597,3083,37,True
301,5231,7248,10,True
302,-405,-1692,39,True
303,3300,1804,-8,True
304,-5051,-3367,-46,False
305,-2773,-2446,-73,False
306,1291,2385,26,True
307,-3708,-2839,-66,True
308,-10963,-10169,-45,True
309,-1343,-4751,9,False
310,-1078,-1134,31,True
312,-2578,935,-32,True
313,480,4965,-12,True
314,3594,4703,23,False
315,-1746,-4084,19,False
316,3787,738,-9,True
317,-656,760,4,False
318,-8293,-8928,-86,False
319,186,1186,38,True
320,-3027,-5301,-29,True
321,-19,-1110,-29,False
322,-1211,3007,18,False
323,413,939,-18,True
324,24,2153,-30,False
325,-2120,-4094,-7,True
326,-1533,2505,-10,True
327,-992,400,-47,False
328,2211,-721,6,False
329,502,2008,-75,True
330,-1156,1047,46,False
332,-606,1886,-47,True
333,-4877,-6888,-61,False
334,550,2653,8,True
335,1476,2856,30,True
336,-1471,-1171,-60,False
337,-1137,-91,45,True
338,1746,-426,34,False
339,-6835,-8146,-98,False
340,-432,-2665,21,True
341,2825,4884,17,False
342,526,-1491,-4,True
343,3145,253,4,True
344,-6228,-5935,-69,True
345,651,-2052,-58,False
346,-1367,-2451,0,True
347,-1017,-1784,25,True
348,6298,4200,88,True
349,-1869,2124,-11,True
350,-3310,-7071,-4,False
351,3136,1361,72,True
352,10107,9695,50,True
353,-3080,-688,10,True
354,-1371,-2120,-48,False
355,-3026,-3737,-24,False
356,564,1388,-12,False
357,-1150,1555,-66,True
359,-6747,-6543,-4,True
360,-4770,-2047,-7,True
361,1116,113,68,True
362,-1733,-1242,-53,True
363,-2548,-2396,-6,False
364,-546,-519,-51,False
365,5679,4259,89,False
366,2406,2479,2,False
367,-6084,-5075,-1,False
368,-4057,-4384,-68,True
369,1205,1035,34,False
370,-10,-2989,-84,True
371,1276,-2218,2,False
372,-4426,-7878,-60,False
373,-4909,-5692,-86,True
374,-198,-451,-13,False
375,1828,1965,-21,True
376,4020,1465,39,False
377,3232,876,28,True
378,5668,6882,52,True
379,-3808,-5693,-112,False
380,10367,8122,120,False
381,-4894,-4570,-40,False
382,4081,5999,65,True
383,-685,-1394,-17,True
384,-451,1123,24,True
385,-3609,-4872,10,True
386,-1221,-1153,-20,True
387,839,2052,14,False
388,-6797,-7709,-29,False
389,-7220,-5545,-14,False
390,-4192,-3523,-85,False
391,-32,-156,-17,True
392,10183,10530,83,True
393,2678,2148,45,True
394,-2059,83,-68,False
395,-2535,-7310,-65,False
396,-820,-229,21,False
397,7116,4677,69,True
398,-1247,448,-9,False
399,4604,8445,71,True
400,-2450,-1257,-39,True
401,10878,3873,74,True
402,4253,1970,87,True
403,-646,-2008,-26,True
404,-3640,-1332,-16,True
405,3022,3957,-6,False
406,9687,10660,70,True
407,-4447,-2513,-87,False
408,4003,3605,70,True
409,4122,5743,19,False
410,-407,407,-37,True
411,2337,-1841,4,True
412,-2877,-3603,-87,False
413,170,-727,-48,False
414,247,781,-31,True
415,-867,-1379,-37,False
416,894,1508,49,False
417,-667,-1569,40,True
418,2002,-3382,11,False
419,2159,1179,-31,False
420,-3900,-3532,28,False
421,3314,3126,42,False
422,1620,-896,57,True
423,-9028,-9329,-56,False
424,-2474,-157,-33,False
425,-5520,-7683,-26,False
426,2464,689,22,True
427,10565,12506,108,True
428,2196,1732,14,False
429,-3290,-3284,-71,False
430,-794,965,-55,False
431,4960,5270,56,True
432,-1538,210,-51,True
433,-1371,-3197,-1,True
434,491,65,38,False
435,-2792,-1928,2,False
436,290,1778,-8,True
437,5902,6488,68,True
438,753,-1224,-18,True
439,-12288,-9425,-80,False
440,795,-1522,20,False
441,-4678,-2855,-32,True
442,-6612,-6705,-34,True
443,1532,1321,-37,True
444,-3380,-4517,37,True
445,5219,3712,26,True
446,-3524,-442,3,False
447,-442,-6015,9,False
448,5662,8040,29,True
449,4790,3597,20,True
450,3564,1756,-8,True
451,-346,1430,34,False
452,-2187,2363,-17,True
453,289,263,0,True
454,-2175,-644,-40,True
455,-6750,-5454,-19,False
456,4786,2173,109,False
457,-3477,-1524,-59,False
458,1525,1241,18,True
459,2085,-2747,-40,True
460,-529,-1192,-89,True
461,-683,-1767,57,False
462,766,275,11,True
463,4965,7252,47,True
464,-7966,-5245,-95,False
465,-264,1444,-66,False
466,-2058,-1321,-32,False
467,-715,1995,-22,True
468,-5978,-5317,-54,False
469,-2032,-3241,-79,False
470,4254,4862,45,True
471,-4140,-1966,-9,True
472,-4890,-7049,-86,False
473,-1684,-3437,-5,True
474,3423,2937,-8,True
475,4220,4387,-11,True
476,-5747,-7070,-66,False
477,5230,5351,-4,True
478,-4495,-4615,9,False
479,57,-3674,23,False
480,3235,375,27,False
481,4725,2100,16,True
482,-5141,-5768,37,False
483,1648,1832,42,False
484,2292,-1345,31,False
485,4334,3944,34,True
486,2001,2546,69,True
487,1467,-170,-19,True
488,5458,5119,90,True
489,-11136,-10559,-155,False
490,1085,-919,10,True
491,855,-426,57,False
492,-3300,-2831,-53,False
494,-1317,-2507,-11,False
495,-1253,-1024,4,False
496,10446,8206,87,True
497,3138,2568,23,True
498,-4836,-3141,-2,True
499,708,-2449,14,True
500,179,2527,59,True
501,3322,4248,8,True
502,-4609,-4741,-9,False
503,-1250,-835,-28,True
504,-4973,-7181,-13,False
505,3386,5931,104,True
506,2045,2495,76,True
507,-396,1315,-62,True
508,-4680,-2634,17,True
509,267,2325,2,True
510,3039,5053,76,True
511,3057,396,-63,True
512,120,1752,-35,False
513,742,2185,4,False
514,-439,-2261,-74,True
515,6514,6437,133,False
516,1930,-1184,54,True
517,-6868,-7393,-24,False
518,1006,3130,54,True
519,4846,2585,18,True
520,-3491,1634,-30,False
521,4881,1766,93,False
522,421,-1414,43,False
523,-11623,-7393,-71,False
524,16,3049,13,True
525,5734,7584,66,True
526,-695,-1873,11,False
527,15706,13678,180,True
528,4552,4054,70,True
529,479,4839,-10,True
530,-2439,-2725,-52,False
531,-5007,-4573,-90,True
532,5509,4085,76,True
533,-2949,-6011,-90,False
534,-1357,692,32,False
535,3875,3310,19,True
536,3024,3262,44,False
537,4655,5482,59,False
538,-595,1277,20,False
539,3476,3878,71,True
540,-1128,-2447,13,False
541,-2743,-1506,-4,False
542,-6827,-8246,-118,False
543,-3563,-6000,-56,False
544,-3696,-2680,-12,False
545,-334,-1496,-58,True
546,-759,1483,-1,False
547,2660,5698,82,True
548,2562,2223,29,True
549,1226,594,14,False
550,-3150,-4917,-25,False
551,2433,1043,16,True
552,-5144,-6712,-21,False
553,-2740,-2776,6,False
554,4854,1473,51,True
555,2395,697,42,True
556,-5998,-6272,-37,False
557,4111,2462,55,False
558,7555,8157,-2,True
559,-555,-3047,-53,False
560,818,646,49,False
561,406,-3230,69,True
562,-12032,-11101,-121,False
563,9325,7690,39,True
564,-3336,-6439,-146,False
565,-8583,-7650,-98,False
566,4669,4784,19,False
567,1487,3624,42,False
568,-5860,-2921,7,False
569,1718,2167,29,False
570,3326,5731,-71,True
571,-3418,-2159,-66,False
572,-7621,-5826,-17,False
573,3502,1512,11,False
575,-4936,-8275,-90,False
576,-482,-1014,-9,False
577,2932,1953,-17,True
578,-7460,-6017,10,True
579,-1344,-2681,-4,False
580,1995,2481,47,True
581,-4234,-3704,-130,False
582,561,1441,-52,True
583,7210,2207,77,False
584,-1344,-2392,-68,False
585,-1673,-3292,-48,False
586,1389,144,12,True
587,-1855,-4079,2,False
588,867,1463,-38,False
589,-1644,1743,4,False
590,1364,3305,45,True
591,4405,4623,14,False
592,7116,5172,72,True
593,-598,-700,41,False
594,6256,4312,73,True
595,6655,5621,86,True
596,-1064,2153,-9,False
597,198,-1891,-4,False
598,-392,24,-3,True
599,-10652,-8705,-124,False
600,-770,-1339,41,False
601,3503,3119,-26,True
602,-10749,-9850,-80,False
603,295,-2339,-38,False
604,-1029,855,-18,False
605,785,-1721,-19,False
606,446,-904,-47,True
607,-8614,-10107,-51,False
608,95,1683,7,True
609,-14,-2138,-17,False
610,1035,447,25,False
611,-5837,-3988,-74,False
612,8640,9982,70,True
613,-946,-156,54,True
614,-488,-4914,-44,False
615,9585,10985,120,True
616,3856,1473,17,True
617,-14579,-14462,-131,False
618,-5854,-4165,-37,False
619,691,-436,5,False
620,18678,9775,74,True
621,2414,6810,100,False
622,1533,442,36,False
623,5763,1726,64,True
624,1403,836,73,False
625,-8748,-7963,-30,False
626,-2640,-2493,-36,False
627,2081,3558,35,True
628,-196,1406,0,True
629,-2282,-2156,-25,False
630,-4280,-4490,22,False
631,-2649,-1220,-9,False
632,1874,-193,49,True
633,-12139,-10561,-69,False
634,-320,-311,-18,False
635,-8523,-7521,-76,False
636,789,-207,-47,False
637,723,-983,-7,True
638,-8345,-6545,-75,False
639,2797,1183,56,True
640,3373,3895,97,True
641,-864,3243,-30,True
642,-619,-2091,17,False
643,-636,2406,-11,False
644,-3392,-4491,9,True
645,-4015,-2180,20,False
646,-1124,-2775,9,False
647,-2250,-3243,-33,False
648,-671,-233,-16,False
649,399,4310,-30,True
650,-1257,-1312,-76,False
651,2160,2031,68,True
652,-1841,394,-27,False
653,-3927,-3488,-61,True
654,9235,7939,111,True
655,5051,6610,-41,False
656,2568,4544,14,False
657,-3244,-6220,43,False
658,973,3762,-13,True
659,4141,3008,50,True
660,-1915,-1462,-30,False
661,-1053,579,-41,True
662,4848,4220,33,True
663,1229,339,-28,True
664,487,1192,23,True
665,530,3992,68,False
666,2982,2692,11,True
667,-507,-635,-18,True
668,-4881,-6591,-13,False
669,7690,4372,53,True
670,3455,4457,7,True
671,1907,-1854,-29,True
672,3866,2816,61,True
673,8075,9071,92,True
674,-3145,-1132,-8,False
675,4004,3792,52,True
676,508,4130,-56,True
677,2342,3269,24,True
678,-2339,-4967,-3,True
679,924,-797,39,True
680,2163,-310,-16,False
681,1898,2224,25,False
682,-10041,-9609,-30,False
683,-294,483,20,True
684,-2253,-4445,12,True
685,317,-110,19,False
686,7649,7845,54,True
687,7381,3713,-1,True
688,4785,6234,107,True
689,-2638,-5410,-55,True
690,-876,1339,-1,True
691,3666,3341,66,True
692,5442,6710,30,False
693,2024,1460,13,False
694,-3769,-4252,-35,False
695,946,-1006,6,True
696,5081,5451,-9,True
697,3003,4822,36,True
698,1833,-1998,24,True
699,-694,-2868,-6,False
700,6286,4863,0,True
701,-2842,-3082,-111,True
702,4174,4164,23,True
703,1888,3361,70,True
704,-2970,-669,-23,True
705,1369,3477,5,True
706,-1741,-55,-8,True
707,-797,2217,78,True
708,-53,2159,14,True
709,3751,6231,117,True
710,3957,2026,-57,True
711,2736,4298,66,True
712,-1311,-8655,-56,False
713,-4222,-1846,-90,True
714,1028,3183,-34,True
715,-8899,-8137,-82,True
716,-2772,1709,14,True
717,-1764,-894,0,False
718,-2709,-2541,-3,False
719,-5347,-6998,-78,False
720,-834,-3179,-76,False
721,278,1432,-14,True
722,-955,-1763,71,True
723,-261,-1481,23,False
724,5829,4936,96,False
725,484,-1731,-43,True
726,-2020,1411,-15,False
727,-215,-3011,88,False
728,7746,6405,53,True
729,2084,289,1,True
730,3466,2488,30,False
731,-7916,-7175,-132,False
732,398,-2073,42,True
733,6137,4235,58,True
734,1653,1156,-1,True
735,5918,2781,34,True
736,743,1479,63,True
737,-2551,1969,-26,False
738,-5176,-5342,0,False
739,888,-1216,26,False
740,1212,2957,10,False
741,5530,2750,34,False
742,-1765,-2380,-12,False
743,4117,1356,124,True
744,-4791,-5639,29,False
745,-27,1591,60,True
746,-3614,-5259,-21,True
747,7419,6801,50,True
748,3441,5794,21,False
749,2223,1847,30,True
750,1914,3664,-47,True
751,3168,2267,81,True
752,-654,-4888,-16,False
753,4502,3529,18,False
754,-4796,-5960,-41,False
755,7561,8663,115,True
756,-4513,-3798,-94,False
757,5571,4191,12,True
758,-1776,-3503,-23,True
759,-5598,-10301,-48,False
760,-5810,-8398,-31,False
761,-1448,-3324,56,False
762,-4412,-1699,-33,False
763,5552,1759,2,True
764,1517,2035,-44,True
765,2383,4885,30,True
766,-6521,-4316,-87,False
767,1264,1924,45,False
768,-4872,-7766,11,False
769,858,979,-45,False
770,11793,9774,105,True
771,3786,450,-27,False
772,-4002,-596,-60,False
773,4017,5195,-14,True
774,-3611,-3587,-41,False
775,-1132,3156,-18,True
776,-674,-1509,14,True
777,1902,1837,54,False
778,4344,3934,64,False
779,7236,6620,6,True
780,-7096,-5020,-31,False
781,563,2677,-23,True
782,-6331,-5617,-88,False
783,4409,3299,53,True
784,69,3453,-14,True
785,-1915,-2487,-98,False
786,-2240,-7869,-65,True
787,2325,3947,43,False
788,4709,5448,65,True
789,-2479,-1370,-49,True
790,2832,4558,25,True
791,3590,6341,63,True
792,-4354,-2251,-24,False
793,1351,2577,13,False
794,-1319,235,-6,True
795,953,576,-17,True
796,-1978,660,27,False
797,11939,8859,54,True
798,-333,334,-30,False
799,-1119,-3297,-75,False
800,2667,1081,16,True
801,-1388,-2964,21,False
802,-1392,-2363,-30,True
803,-5638,-1254,-31,False
804,2559,1513,35,True
805,-3376,-4402,-18,False
806,6997,6141,102,True
807,463,828,44,False
808,2565,2430,14,True
809,-366,-1875,-36,True
810,-2197,-3340,-48,False
811,2499,1415,-38,False
812,-1213,1994,18,False
813,12306,8819,31,True
814,3649,3618,32,True
815,-2117,-3349,-38,False
816,-1211,1352,16,False
817,5621,3454,63,False
818,1407,939,37,True
819,-3261,-2467,0,False
820,-7199,-7824,-116,False
821,-112,2786,13,False
822,-2425,-2956,4,False
823,7650,5278,84,True
824,-1595,-669,20,False
825,-2882,-880,-73,False
826,-7478,-9563,-106,False
827,1894,829,-9,False
828,1316,2664,-2,True
829,3224,43,33,True
830,12751,8596,106,True
831,-848,-1545,23,False
832,15065,11341,102,True
833,-4790,-2179,-79,False
834,675,750,4,False
835,7416,7047,56,True
836,-27407,-13671,-123,False
837,2324,1817,35,True
838,-5106,-9364,9,False
839,-2035,-2543,-44,False
840,-5078,-6103,-56,False
841,1015,855,35,True
842,11,-1894,-17,True
843,-211,1130,-63,False
844,2645,1563,2,True
845,-8256,-7554,-63,False
846,1320,2340,63,False
847,13229,12404,141,True
848,1739,-149,-51,False
849,-244,-1042,13,True
850,3514,3119,23,True
851,5891,6462,89,True
852,-5603,-1852,-78,False
853,-7108,-6750,-19,False
854,5261,7124,40,True
855,447,-592,12,False
856,2819,2041,13,True
857,-152,-959,-41,True
858,1551,1077,27,False
859,1256,4238,22,True
860,1857,-139,19,False
861,-930,-1457,-28,True
862,-4895,-7919,-44,False
863,4513,5151,20,False
864,675,2391,2,True
865,-2405,-1300,-22,True
866,124,-2454,8,True
867,-879,3487,-34,False
868,-2037,-2801,27,False
869,-32,935,20,False
870,-7271,-2963,-44,False
871,-206,2097,26,False
872,3435,2713,13,False
873,402,486,-3,False
874,-776,-4394,7,False
875,-6003,-8330,-49,False
876,1747,1641,-14,False
877,-299,3492,12,False
878,-357,-1316,-68,True
879,-1741,-57,2,True
880,751,372,0,False
881,1994,39,-23,True
882,-630,-1085,-23,False
883,8812,8244,104,True
884,5771,3071,50,True
885,290,-265,67,False
886,9580,5214,108,False
887,5928,5668,100,True
888,-5310,-5173,-52,False
889,2956,4160,-27,True
890,-1031,86,-8,False
891,5823,8740,107,True
892,6108,6389,114,True
893,-3109,-4359,-38,False
894,1728,4123,46,True
895,42,-1762,-45,True
896,29,-1794,8,False
897,-1987,-2823,-9,False
898,4213,2224,63,False
899,824,877,15,True
900,-2925,-2429,-16,True
901,789,-658,60,False
902,-5438,-7416,-42,False
903,10182,8128,53,True
904,1914,1600,2,False
905,4470,-723,-6,False
906,2789,1902,107,True
907,1310,3058,-59,True
909,-6896,-2596,-18,True
910,2918,1798,45,False
911,1375,-180,-17,False
912,673,4208,23,True
913,32776,19725,192,True
914,556,2695,73,False
915,5265,6027,56,False
916,7882,8146,56,True
917,-3028,-1915,-9,False
918,2240,2249,16,True
919,736,-1645,21,True
920,1643,-852,24,True
921,-2221,-1592,21,False
922,-1851,131,-53,True
923,1696,-710,-6,False
924,-969,-2274,-6,False
925,-1730,-92,16,True
926,-778,-881,32,True
927,-2472,-1315,-41,True
928,3101,2540,58,False
929,-8566,-6329,-72,False
930,872,1305,-34,False
931,-1740,-101,-54,True
932,-2998,-1440,-22,False
933,-1249,-982,-24,False
934,-2050,-2167,-36,False
935,279,1550,-1,False
936,-789,315,13,False
937,-1346,-2499,-38,False
938,-980,-1240,-36,False
939,703,1410,-40,True
940,-2976,-2529,-84,False
941,3873,3064,92,True
942,3794,1599,12,True
943,-6790,-9866,-119,False
944,-882,-1875,-20,False
945,6201,6276,-37,True
946,3944,3477,64,True
947,926,360,27,False
948,-2499,-2708,6,False
949,2526,2767,-18,True
950,-994,-1549,-37,False
951,733,-536,-9,True
952,-11059,-11080,-33,False
953,-548,-1010,-13,False
954,-2193,-1296,15,True
955,843,2767,22,True
956,8526,6756,103,True
957,1105,-3138,-82,False
958,4765,6023,122,True
959,-3884,-3842,-90,True
960,-13741,-12496,-145,False
961,2781,1727,12,True
962,-7,-1510,15,True
963,-6716,-4558,-70,True
964,2830,-1701,13,True
965,6031,7647,48,True
966,6383,3761,37,True
967,4432,4577,27,False
968,-4072,-2993,35,False
969,-3658,-6128,-44,False
970,-4631,869,-54,True
971,-3297,-1768,43,True
972,-2898,-3337,-60,False
973,9800,10513,77,True
974,-459,373,-26,True
975,-19,1170,-8,False
976,2027,576,-27,False
977,-1791,-3856,-50,False
978,-7440,-6606,-104,True
979,-6254,-4112,-103,False
980,-12032,-6710,-114,False
981,-2523,721,15,True
982,-4671,-4876,1,True
983,2993,514,-30,True
984,-143,-391,14,False
985,-8906,-4561,-70,True
986,-2926,-2255,-84,True
987,-1401,-89,-38,True
988,-1102,763,-24,True
989,-2537,466,-43,True
990,4762,3431,25,False
991,1054,-186,2,True
992,1093,1222,6,True
993,-6040,-4875,-60,False
994,2077,2630,-36,True
995,5515,5419,68,True
996,-2001,-2830,-3,True
997,1622,227,18,True
998,585,-1296,36,False
999,7336,5350,78,True
1000,-82,603,73,True
1001,1241,924,-16,False
1002,-251,672,-66,True
1003,5512,3118,64,False
1004,-1211,-2560,-51,False
1005,969,1049,-16,True
1006,931,3208,39,True
1007,-2396,-2695,-52,True
1008,-7534,-8263,-28,True
1009,4557,4243,-12,True
1010,-1865,-3706,-22,True
1011,-4096,-5864,-51,False
1012,-399,-3130,-26,False
1013,6137,6226,1,True
1014,-4478,-6477,-56,False
1015,-6219,-9529,-67,False
1016,6189,5190,82,True
1017,3795,5387,54,True
1018,-1645,-2871,-57,False
1019,-5209,-2546,-23,False
1020,210,-440,-10,True
1021,-5855,-5531,-93,False
1022,-3590,-202,-32,False
1023,1012,994,-1,False
1024,-79,-1175,32,False
1025,-2752,-3654,-7,False
1026,-1267,-683,-21,True
1027,-1284,-3209,-36,False
1028,-2754,-4978,92,False
1029,-2276,-5493,0,False
1030,1895,578,49,True
1031,-2631,-4018,-41,False
1032,1254,-3164,-90,False
1033,1331,3226,23,True
1034,1020,-2460,-4,True
1035,3098,2250,21,True
1036,-1392,-839,-31,True
1037,-3916,-1513,-51,False
1038,3062,1256,-4,False
1039,-8653,-8482,-80,False
1040,10087,10434,132,True
1041,-2961,-3736,-33,False
1042,4610,4573,2,True
1043,-7823,-7631,-34,False
1044,3209,507,32,True
1045,1351,2290,15,False
1046,-3037,-1394,4,False
1047,3061,2127,54,True
1048,-9073,-3686,-105,False
1049,5841,1484,75,True
1050,838,204,45,False
1051,6266,2458,18,False
1052,-220,244,16,False
1053,663,1602,34,False
1054,-4039,-3068,-15,False
1055,-6895,-6636,-14,False
1056,-1066,-3086,-33,False
1057,681,2097,5,True
1058,1581,2166,6,True
1059,-2114,579,4,False
1060,725,1234,-44,True
1061,8409,5502,105,True
1062,6477,1432,25,True
1063,2300,2080,-3,True
1064,-2162,-4093,5,False
1065,1817,-2842,44,True
1066,2354,2028,21,False
1067,-5608,-4132,-66,False
1068,-22,-155,-19,True
1069,860,3391,35,False
1070,-1287,453,-15,False
1071,10692,5316,82,True
1072,185,-159,85,False
